Mã,Tên công ty,Sàn,Ngành ICB - cấp 1,Năm,Liquidity_Score,Leverage_Score,Efficiency_Score,Size_Score,Profitability_Score,Liquidity_State,Leverage_State,Efficiency_State,Size_State,Profitability_State
ASM,Tập đoàn Sao Mai,HOSE,Hàng Tiêu dùng,2023,-0.3442725823100529,-0.006499803911706,-0.632779269664231,1.2703635543741798,-0.2442779965966148,Trung bình,Trung bình,Thấp,Cao,Trung bình
ASM,Tập đoàn Sao Mai,HOSE,Hàng Tiêu dùng,2024,-0.1915053183564086,-2.216868211348453,-0.5299741604755163,1.245951325068221,-0.2505674665540941,Trung bình,Thấp,Thấp,Cao,Trung bình
ASP,Dầu khí An Pha,HOSE,Tiện ích Cộng đồng,2020,-0.5722924644289126,1.0479892813103189,,0.1529563261908895,-0.5181757447312783,Thấp,Cao,Không xác định,Trung bình,Thấp
ASP,Dầu khí An Pha,HOSE,Tiện ích Cộng đồng,2021,-0.5322999862823096,0.9237229054670232,0.4689385534287031,0.2207247866327616,-0.9276024149607082,Thấp,Cao,Trung bình,Trung bình,Thấp
ASP,Dầu khí An Pha,HOSE,Tiện ích Cộng đồng,2022,-0.6489369663147699,3.683359865946189,0.4747090343203897,0.2085041785850168,-1.047891757814054,Thấp,Cao,Trung bình,Trung bình,Thấp
ASP,Dầu khí An Pha,HOSE,Tiện ích Cộng đồng,2023,-0.6384450806067142,1.2348508232939666,0.3309981836674031,0.2075394223053038,-1.86443310941866,Thấp,Cao,Trung bình,Trung bình,Thấp
ASP,Dầu khí An Pha,HOSE,Tiện ích Cộng đồng,2024,-0.5567430523511853,1.4634208992623914,0.4906678920786215,0.0650504980737408,-0.5793954365857333,Thấp,Cao,Trung bình,Trung bình,Thấp
AST,Dịch vụ Hàng không Taseco,HOSE,Dịch vụ Tiêu dùng,2020,0.057786503141748,-0.3811058191306233,,-0.5636130101191583,-0.4237983472679871,Trung bình,Trung bình,Không xác định,Thấp,Trung bình
AST,Dịch vụ Hàng không Taseco,HOSE,Dịch vụ Tiêu dùng,2021,-0.2931138004803601,-0.2682181871140025,-0.3291166489955145,-0.8312530775890721,-1.5045257271614532,Trung bình,Trung bình,Trung bình,Thấp,Thấp
AST,Dịch vụ Hàng không Taseco,HOSE,Dịch vụ Tiêu dùng,2022,-0.0560167786859944,-0.1889665528779133,-0.2014579538181951,-0.5567682364288145,-0.2233299324208586,Trung bình,Trung bình,Trung bình,Thấp,Trung bình
AST,Dịch vụ Hàng không Taseco,HOSE,Dịch vụ Tiêu dùng,2023,-0.0236949869756629,-0.1773430166911489,-0.0721808618551601,-0.3738706017942379,0.9443794807260102,Trung bình,Trung bình,Trung bình,Trung bình,Cao
AST,Dịch vụ Hàng không Taseco,HOSE,Dịch vụ Tiêu dùng,2024,-0.2685275305262557,-0.145788807027959,-0.0324682775034024,-0.3417126816269674,1.083641335134148,Trung bình,Trung bình,Trung bình,Trung bình,Cao
BAF,Nông nghiệp BAF Việt Nam,HOSE,Hàng Tiêu dùng,2020,-0.6055295093855474,1.537024266816324,,0.929449642224635,-0.5121056909252427,Thấp,Cao,Không xác định,Cao,Thấp
BAF,Nông nghiệp BAF Việt Nam,HOSE,Hàng Tiêu dùng,2021,-0.3055124200306074,0.8230804321954053,0.4340835526523475,0.8263964868214434,0.2706322159201721,Trung bình,Cao,Trung bình,Cao,Trung bình
BAF,Nông nghiệp BAF Việt Nam,HOSE,Hàng Tiêu dùng,2022,-0.4134336950399133,0.3806000489256875,0.3129608725633862,0.5380774113700779,0.1480015385650611,Trung bình,Trung bình,Trung bình,Cao,Trung bình
BAF,Nông nghiệp BAF Việt Nam,HOSE,Hàng Tiêu dùng,2023,-0.4981105770623255,-3.7778401902638983,-0.5320741084649238,0.5527457078924197,-0.3276075945424173,Trung bình,Thấp,Thấp,Cao,Trung bình
BAF,Nông nghiệp BAF Việt Nam,HOSE,Hàng Tiêu dùng,2024,-0.371362722650536,0.29629008405039,-0.3285192417966707,0.5780208327281959,0.038954730126472,Trung bình,Trung bình,Trung bình,Cao,Trung bình
