Mã,Tên công ty,Sàn,Ngành ICB - cấp 1,Năm,Liquidity_Score,Leverage_Score,Efficiency_Score,Size_Score,Profitability_Score,Composite_Score,cluster_raw,cluster
ABR,Đầu tư Nhãn Hiệu Việt,HOSE,Công nghiệp,2022,-0.148064472488385,-0.336808794728457,-0.3133291163346917,-1.3655021673170564,0.1022228417898598,-0.412296341815746,2,0
ACC,Đầu tư và XD Bình Dương ACC,HOSE,Công nghiệp,2022,-0.3196771410253228,-0.1125165105794872,-0.2851488348220207,-0.1224623359199627,-0.1257656984635096,-0.1931141041620606,2,0
ADP,Sơn Á Đông,HOSE,Công nghiệp,2022,-0.1275713890965318,-0.3344480240764985,0.2702436030464119,-0.803038390255976,0.2751166304328657,-0.1439395139899457,2,0
APH,Tập đoàn An Phát Holdings,HOSE,Công nghiệp,2022,-0.1340571783678986,0.0212219221738078,0.2390656506654803,1.638864510203773,-0.3558164459307693,0.2818556917488787,1,1
ASG,Tập đoàn ASG,HOSE,Công nghiệp,2022,-0.037182760389444,-0.199958798129073,-0.1696915688919037,0.3891688563608639,-0.0616359990703506,-0.0158600540239814,1,1
BCE,XD và GT Bình Dương,HOSE,Công nghiệp,2022,-0.3819962453161911,-0.1689671982494331,-0.4005477627957051,-1.1416329305877773,-1.0411489802009937,-0.6268586234300202,2,0
BMP,Nhựa Bình Minh,HOSE,Công nghiệp,2022,0.5284536712436229,-0.3931926169352843,0.7594310885517422,0.7510024985461061,0.9191329895869194,0.5129655261986212,1,1
C32,CIC39,HOSE,Công nghiệp,2022,-0.2772035223462135,-0.1515412617823705,-0.2233242681228558,-0.4307356836281086,-0.2535827989402959,-0.2672775069639688,2,0
C47,Xây dựng 47,HOSE,Công nghiệp,2022,-0.4639115441050734,1.8713674114111856,-0.281993751279508,-0.1015471218477973,-0.3012148148420991,0.1445400358673415,0,2
CAV,Dây cáp điện Việt Nam,HOSE,Công nghiệp,2022,-0.4837707944935863,0.0985474653989952,0.7315316701956247,1.1354785318239788,0.2317009516779417,0.3426975649205908,1,1
CDC,Chương Dương Corp,HOSE,Công nghiệp,2022,-0.4074578642276885,0.6178972577564397,-0.1480049944622945,0.0295523351693801,-0.3474470660352409,-0.0510920663598808,1,1
CIG,Xây dựng COMA 18,HOSE,Công nghiệp,2022,-0.4703798107181569,-0.1710922405325255,-0.4216748866604759,-1.1922404418259012,-0.4867944254280045,-0.5484363610330127,2,0
CII,Hạ tầng Kỹ thuật TP.HCM,HOSE,Công nghiệp,2022,-0.498443583016555,0.6544477579031924,-0.3635344856824649,1.572590387392534,-0.111407627091526,0.2507304899010361,1,1
CLL,Cảng Cát Lái,HOSE,Công nghiệp,2022,2.936947202338505,-0.4276131770560742,-0.2127830324300039,-0.8220849925863473,0.3620922205044867,0.3673116441541132,2,0
CRC,Create Capital Việt Nam,HOSE,Công nghiệp,2022,-0.3202139160016226,-0.1596698546093821,-0.1870244009441459,-0.6970977370556333,-0.1375283285992391,-0.3003068474420046,2,0
CTD,Xây dựng Coteccons,HOSE,Công nghiệp,2022,-0.3452783529751334,1.5054707634010585,-0.157690519540875,1.7322196003262038,-0.379193270038251,0.4711056442346006,0,2
CTI,Cường Thuận IDICO,HOSE,Công nghiệp,2022,-0.4757093334206323,3.3143541837717843,-0.2669431531126922,0.2686713798902971,-0.1928083305312523,0.529512949319501,0,2
CTR,Công trình Viettel,HOSE,Công nghiệp,2022,-0.4028869814036222,0.4574192081155792,0.1656097482162489,1.1635240256814146,0.2818881004995677,0.3331108202218376,1,1
CVT,CMC JSC,HOSE,Công nghiệp,2022,-0.3329693425690838,0.715832664712832,-0.2363596803137099,0.4355441229545095,-0.1220382669733096,0.0920018995622476,1,1
DC4,Xây dựng DIC Holdings,HOSE,Công nghiệp,2022,-0.4378686817885631,0.7889026619227429,-0.3588996147259632,-0.6324657729638339,-0.3997283635420162,-0.2080119542195266,2,0
DHA,Hóa An,HOSE,Công nghiệp,2022,1.305747112679802,-0.4110845867540676,-1.376424593759571,-0.8257203269408251,0.2229803534860751,-0.2169004082577173,2,0
DPG,Tập đoàn Đạt Phương,HOSE,Công nghiệp,2022,-0.1216427092505954,0.15566106939793,-0.1677279225349636,0.8222255531654471,0.2891964344231784,0.1955424850401993,1,1
DVP,ĐT và PT Cảng Đình Vũ,HOSE,Công nghiệp,2022,0.8846657762670321,-0.416646615894039,-0.1849975989518062,-0.2781530827451269,0.7122707109768828,0.1434278379305885,2,0
DXV,Vật liệu Xây dựng Đà Nẵng,HOSE,Công nghiệp,2022,0.1099063198987193,-0.308144757179388,0.1622592203250423,-1.4784914291984026,-0.3789128290032734,-0.3786766950314605,2,0
